Muttersprache	língua materna
Zentrum	o centro
Sport	o desporto
lieblings-	favorito/-a
Blume	a flor
Schreibtisch	a mesa
stellen	lugar
arbeitslos	desempregado/-a
Erlaubis	a permissão
Diskothek	a discoteca
Lehrer	o Professor
zufrieden sein mit	estar satisfeito com
Bäcker	o padeiro
kaufen	comprar
Los, Schicksal	o destino
man	uma pessoa
akzeptieren	aceitar
sich in jemanden verlieben	apaixonar-se por
Rasenmäher	a máquina a de cortar relva
funktionieren	funcionar
Handynummer	o número de telemóvel
ändern	mudar de
Meinung	a opinão
Testament	o testamento
Figur	a figura
achten auf	cuidar de
Radfahrer	o/a ciclista
sterben an	morrer de
Verletzung	o ferimento
verlieren	perder
Arbeitsstelle	o emprego
etwas verstehen von	saber de
ohne	sem
nie	nunca
schließlich	por fim
Angeklagte	o réu
Schweigen	o silêncio
das Schweigen brechen	quebrar o silêncio
ausziehen (Kleigung)	tirar a
Mantel	o casaco
