gestern	ontem
jedoch	contudo
bewegen	mover
die Ferien verbringen	passar as férias
den wievielten haben wir heute?	Quantos são hoje?
denken	pensar
wiegen	pesar
Unterricht	a aula
Schuh	o sapato
wohin	para onde
zahlen	pagar
Miete	o aluguel
Gemälde	a pintura
Epoche	a época
worum handelt es sich?	De que se trata?
Sternzeichen	o signo do zodíaco
jemanden entlassen	despedir
kündigen	despedir-se
von jmdm/etw abhängen	dependar de
inwiefern	até que ponto
verschlechtern	deteriorar
das Zimmer räumen	desocupar o quarto
Buchstabe	a letra
Alphabet	o alphabeto
arbeiten an	trabalhar em
grüßen	cumprimentar
dienen	servir
Frage	a pergunta
Unfall	o acidente
zurückführen auf	atribuir ac. a ac.
Unterschied	a diferença
