spielen	brincar
Feuer, Brand	o fogo
in der Nähe von	perto de
Geruch, Duft	o cheiro
herrschen	reinar
Rand	a borda
Fahrstraße	a estrada
sich erstrecken	estender-se
Pinienhain	o pinhal
alt	velho/-a
Pinie	o pinherio
(ein)atmen	respirar
Luft, Aussehen	o ar
rein	puro/-a
beobachten	observar
(be)merken, auffallen	notar
etwas	algo
seltsam	estranho/-a
wachsen	crecser
winzig, sehr klein	pequinino/-a
brennen	arder
Papier	o papel
Seite	o lado
Gemüsegarten	o quintal
alt, betagt	idoso/-a
frisch	fresco/-a
