steichen	pintar
Feigenbaum	a figueira
Apfelbaum	a macieira
Kirschbaum	a cerejeira
Front	a frente
Pool	a piscina
hinten	atrás
Boden	o fundo
sich anschauen	ver-se
Stall	o estábulo
Zaun	a vedação
Rückkehr	a volta
Grundstück	o terreno
bedeckt	coberto/-a
Kleterpflanze	a planta trepadeira
gepflegt	cuidado/-a
erben	herdar
bald	logo
anschließend	a seguir
erledigen	mandar
umbauen	fazer obras
Gattin	a esposa
anpassen	adaptar
Auf der einen Seite …, auf der anderen …	Por um lado por outro
Traum	o sonho
Gast	o/a hóspede
fremd, ausländisch	estrangeiro
(Küchen-)Kräuter	as ervas aromáticas
gießen	regar
