Wanderung	a caminhada
aussuchen, auswählen	escolher
Wanderweg	o trilho
(nach)fragen	indagar
Brot backen	cozer pão
Konfitüre, Marmelade	o doce
frittierte Fleisch- oder Fischtasche	o rissol
Stockfischbällchen	o pastel de bacalhau
zurückkommen, zurückkehren	regressar
Olive	a azeitona
Oktopus	o polvo
hoffentlich	oxalá
gegrillte Sardine	a sardinha assada
so oder so	De qualquer forma
kochen	cozinhar
zu sich nehmen, trinken	tomar
vielleicht	talvez
wieder	outra vez
hinzufügen	acrescentar
