Einladung	o convite
zu Abend essen	jantar
Bärenhunger	o fome de lobo
willst du?	queres?
mit mir	comigo
blau	azul
Sardine	a sardinha
Restaurant	o restaurante
mit	com
Speisekarte	a ementa
abwechslungsreich	variado/-a
Handy	o telemóvel
auch	também
Hunger	a fome
nun,also	ora
das ist, das heißt	isto é
Problem	o problema
meine Verlobte	a minha noiva
sich beklagen	queixar-se
wiegen	pesar
hundert Kilos	cem quilos
du musst	tens de
Diät machen	fazer dieta
essen	comer
Salat	a salada
vielleicht	talvez
ein wenig, ein bisschen	um pouquinho
mehr	mais
Angestellte, Kellnerin	a empregada
bitte	faz favor
Fisch	o peixe
Fleisch	a carne
gebraten	assado/-a
Nachtisch	a sobremesa
Durst	a sede
trinken	beber
Wein aus Mittelportugal	o Vinho do Dão
Mineralwasser	a água mineral
beginnen	começar
Wochenende	o fim de semana
ich will	quero
Alkoho	o álcool
dick machen, zunehemen	engordar
Bier	a cerveja
für mich	para mim
wünschen	desejar
ich hätte gern	queria
klein	pequeno/-a
Flasche	a garrafa
Rotwein	o vinho tinto
Bier vom Fass	a imperial
auswählen	escolher
Teigtaschen, mit Krabben gefüllt	os rissóis de camarão
Steak	o bife
gegrillt	grelhado/-a
Pommes frites	as batatas fritas
Grünkohlsuppe	o calso verde
Salzkartoffeln	as batatas cozidas
halbe Portion	a meia dose
daher, also	portanto
zu (viel)	demasiado/-a
Kalorie	a caloria
obligatorisch	obrigatório/-a
Orangenkuchen	a tarte de laranja
Espresso mit Milch	o pingado (brasil.)/ o garote (port.)
Kaffee, Café	o café
Milch	o leite
verwenden	usar
andere(r,s)	outro/-a
Wort	a palavra
Toast, Trinkspruch	o brinde
Prost!	À saúde!
Guten Appetit!	Bom apetite!
Gleichfalls!	Igualmente!
er/sie macht	faz
Zeichen	o sinal
könnten sie bitte .... bringen	podia trazer
Rechnung	a conta
Moment	o momento
etwas mögen	gostar de
Essen	a comida
zuückkommen	voltar
Was für eine Diät?	Que dieta?
geöffnet	aberto/-a
Ich möchte ein Glas Rotwein	Queria um copo de vinho tinto.
Ich möchte eine Portion ...	Queria uma dose de ...
Haben Sie Diabetikerkuchen?	Tem bolo para diabéticos?
Servieren Sie vegetarische Gerichte?	Servem pratos vegetarianos?
getrennt bezahlen	pagar separademente
alles zusammen bezahlen	pagar tudo junto
Stimmt so!	Está bem assim!
Wie möchten Sie das Steak?	Como queria o bife?
englisch (Steak)	mal passado
medium (Steak)	ao ponto
gut durchgebraten	bem passado
