liebe/r	querido/-a
seit (Zeitraum)	há
Woche	a semana
in; an; auf	em
seit (Zeitpunk)	desde
vergehen	passar
schnell	depressa
ich gehe	vou
gehen,fahren	ir
jeden Tag	todos os dias
Straßenbahn	o elétrico
U-Bahn	metro
nach,zuin	para
Universität	a universidade
besuchen, anschauen	assistir
Unterricht, Vorlesung	a aula
gewöhnlich tun	costumar
aufstehen	levantar-se
später	mais tarde
Samstag	a sábado
Tennis spielen	jogar ténis
abends, nachts	à noite
oft	muitas vezes
Freund	o amigo
hier	aqui
es gibt	há
schließen	fechar
spät	tarde
danach	depois
Abendessen	o jantar
fast	quase
Theater	o teatro
sich amüsieren, Spaß haben	divertir-se
normalerweise	normalmente
schlafen gehen	deitar-se
Sonntag	o domingo
sich ausruhen	descansar
manchmal	ás vezes
lesen	ler
Buch	o livro
hören	ouvir
Musik	a música
anrufen	telefonar
nächste(r,s)	próximo/-a
Bis dahin!	Até lá!
Küsschen	o beijinho
Ich vermisse euch (Briefschluss)	Saudades
Alltag	o dia a dia
schreiben	escrever
Aufsatz	a redação
Thema	o tema
unser	nosso
sich waschen	lavar-se
sich anziehen	vestir-se
vorbereiten	preparar
Frühstück	o pequeno-almoço
dia ganze	toda a
Familie	a familía
ungefähr um ...	po volta de
Arbeit	o trabalho
bringen, mitnehmen	levar
richtig	certo/-a
hineingehen in, eintreten	entrar em
Zeitung	o jornal
einige	alguns
weil	porque
Büro	o escritório
Mittag	o meio dia
gut, also	bem
von ... bis ...	de ... a ...
zu Mittag essen	almoçar
Kollege	o colega
Kantine	a cantina
zwischen	entre
Nachmittag	a tarde
schlafen	dormir
Mittagsschlaf	a sesta
Chef	o chefe
erlauben, lassen	deixar
Wie unsympathisch!	Que antipático!
das kommt darauf an	depende
einkaufen	fazer compras
Supermarkt	o supermercado
viel zu tun haben	ter muito que fazer
Freizeit, Muße	o lazer
Erholung	o descanso
zum Beispiel	por exemplo
besuchen	visitar
Großeltern	os avós
Kuchen	o bolo
spazieren gehen	dar passeios
Strand	a praia
Fahrrad fahren	andar de bicicleta
fantastisch	fantástico
lustig	divertido/-a
das	isso
fragen	perguntar
es ist/wird Zeit	são horas
früh	cedo
mein	o meu
wirklich	mesmo
langweilig	aborrecido/-a
morgens	de manhã/ pela manhã
nachmittags	de tarde/ á tarde
abends	de noite/ á noite
von acht bis neun Uhr	das oito ás nove horas
bis zwei Uhr	até ás duas horas
gegen zehn Uhr	por volta das dez horas
Um wie viel Uhr stehst du auf?	Levanto-me ás cinco da manhã.
Wie spät ist es?	Que horas são?
Es ist ein Uhr.	É uma hora.
Es ist zwei Uhr.	São duas horas.
Es ist Viertel nach zehn	São dez e um quarto.
Es ist zwanzig nach sieben	São sete e vinte.
Es ist halb sechs.	São cinco e meia.
Es ist Viertel vor sechs.	São seis menos um quarto.
