Geburtstag haben	fazer anos
Jahr	o ano
ich möchte dich einladen	queria convidar-te
einladen	convidar
feiern	festejar
Feier, Fest	a festa
wird sein	vai ser
Eltern	os pais
können	poder
kennenlernen; kennen	conhecer
alt; ehemalig	antigo/-a
Kommilitone	o colega de curso
meine	a minha
Cousine	a prima
unser	o nosso
Umgebung	os arredores
deshalb	por isso
es wird dir nicht fehlen	não te vai faltar
Gesellschaft	a companhia
verbringen	passar
dort	lá
Urlaub, Ferien	as férias
Wetter	o tempo
abends ausgehen	sair à noite
sehen, anschauen	ver
Sonnenuntergang	o pôr do sol
was hälst du davon	o que achas?
finden, meinen, halten von	achar
Idee	a ideia
Bis bald!	Até breve!
mitbringen	trazer
natürlich	naturalmente
neu	novo/-a
