Gespräch	a conversa
Hallo? (am Telefon)	Está?
Ist Clara da?	É de casa da Clara?
Hallo!	Viva!
ich bin es	sou eu
für den/die	pelo
annehmen	aceitar
ein bisschen	um pouco
Herbst	o outono
Warhheit	a verdade
(her)kommen	vir
Sommer	o verão
wärmer	mais quente
als	do que
wie lustig!	que engraçado!
verschieden	vários/-as
Jahreszeit	a estação do ano
innerhalb von	dentro de
dasselbe	o mesmo
Land	o país
Ganau! So ist es!	Pois é!
wissen; können	saber
begeistert von	entusiasmado/-a com
weiter weg	mais longe
schon	já
Region	a região
sehr, sehr gut	muitíssimo bem
schön, hübsch	bonito/-a
Leidenschaft für	a paixão por
Recht haben	ter razão
nun, also, endlich	afinal
Was weiß ich!	Sei lá!
halbe(r,s)	meio/-a
Welt	o mundo
Überraschung	a supresa
nicht wahr?	não e?
Vorschlag	a proposta
fabelhaft	de arromba
etwas nocheinmal tun	voltar a + Infinitiv
ausmachen, absprechen	combinar
Einzelheiten	os pormenores
einverstanden	de acordo
Tschüss(chen)!	Adeusinho!
Tschüss!	Adeus!
