(Markt)platz	a praça
müssen	ter de
einkaufen gehen	ir às compras
zusammen, gemeinsam	juntos
brauchen	precisar de
Obst	a fruta
Gemüse	os legumes
kaufen	comprar
die sie so gern mag	de que tanto gosta
etwas mögen, gerne tun	gostar de
zuerst	primerio
gleich	logo
Fischmarkt, Fischgeschäft	a peixaria
Metzgerei	o talho
Kalbsschnitzel	o bife de vitela
Kleine (Kosewort)	a pequerrucha
sehr mögen	ardorar
Genau so machen wir es	É isso mesmo.
Rest	o resto
schnell	rápido
Bergkäse	o queijo da serra
Was noch?	Que mais?
das Brötchen	o pãozinho
die Brötchen	os pãezinhos
fertig	Pronto/-a
Getränk	a bebida
diese Woche	esta semana
im Angeot	em promoção
okay	está bem
jener (dort)	aquele
Korb	o cesto
Speisekammer	a despensa
Stets zu Diensten	Sempre às ordens!
Prinzessin	a princesa
Marktfrau	a vendedeira
Kunde	o freguês
Kilo	o quilo
Apfel	a maçã
gut süß	bem doce
süß	doce
diese hier	estas aqui
eine Köstlichkeit	uma delícia
wirklich	realmente
die da	essas
Mandarine	tangerina
woher	de onde
schön süß	docinho/-a
Was kostet/kosten …?	Qual é preço …?
ein Euro zwanzig	um euro e vinte
wirklich schön reif	mesmo madurinho/-a
reif	Maduro/-a
ein halbes Kilo	meio quilo
grüne Bohnen	o feijão verde
Karotte	a cenoura
Kopfsalat	a alface
frisch	fresco/-a
Gemüsegarten	a horta
Wie viel macht alles zusammen?	Quanto é tudo?
Das macht …	Faz …
Ich habe zu Danken	Obrigado/-a eu.
