weitergehen, folgen	seguir
geradeaus	em frente
bis zu/zur/zum	até a/à/ao
Kreuzung	o cruzamento
durch … gehen, entlang gehen	ir por
überqueren	atravessar
Brücke	a ponte
abbiegen	virar
nach links	à esquerda
nach rechts	à direita
weitergehen	continuar
immer geradeaus	sempre em frente
geradeaus (die Richtung)	a direito
Ende	o fim
abbiegen (scheiden)	cortar
hinuntergehen, aussteigen	descer
Kirche	a igreja
Platz	a praça
gegenüber	em frente (de)
auf	em cima (de)
unten, am Ende	ao fundo (de)
oben	ao cimo (de)
weiß	branco/-a
gelb	amarelo/-a
grau	cinzento/-a
braun	castanho/-a
rot	vermelho/-a
schwarz	preto/-a
hell	claro/-a
dunkel	escuro/-a
auf der rechten Seite	no lado direito
auf der linken Seite	no lado esquerdo
am Ende dieser Straße	no fim desta rua
in ca. 100 Metern	a uns cem metros
hinter, an der Rückseite	atrás de
neben	ao lado de
zwichen	entre
Ecke	a esquinha
Gehsteig	o passeio
Haltestelle	a paragem
Es ist gleich da.	É logo ali.
Est gleich nebenan.	É mesmo ao lado.
