sich treffen	encontrar-se
Bahnhof	a estação
Entschuldigen Sie!	Desculpe!
Können Sie mir sagen	Sabe dizer-me
sagen	dizer
liegen, sein	ficar
da oben	lá em cima
in der Nähe von	perto de
weit weg	longe de
das kommt darauf an	depende
Weg	o caminho
es macht nichts	não faz mal
zu Fuß gehen	andar a pé
hinaufgehen	subir
Treppe	as escadas
Prachtstraße, Allee	a avenida
oben auf	ao cimo de
leicht	fácil
Was für eine schne Stadt!	Que cidade tão bonita!
so, solch	tão
Es ist zauberhaft!	É um encanto!
Pastete	o pastel
Hör (Schau) mal!	Olha!
schauen	olhar
da hinauf	lá acima
alt	velho
gewaltig	monumental
Stufe	o degrau
Der/Die Arme!	Coitado/-a!
verschieden, unterschiedlich Adj.	diverso/-a
Fakultät	a faculdade
Bibliothek	a biblioteca
Universitätsbibliothek	a Biblioteca Geral
Statue	a estátua
König	o rei
genau oben auf	mesmo ao cimo de
Verbrennen	a queima
(Fakultäts-)Band	a fita
hier(her)	cá
Festzug	o cortejo
Wagen, Auto	o carro
geschmückt	enfeitado/-a
Farbe	a cor
verschieden, unterschiedlich Adv.	diferente
Wie ist das mit den Farben	Como é isso das cores?
sag mal	diz-me lá
jede(r,s)	cada
Philosophische Fakultät	a Faculdade de Letras
blau	azul
dunkel	escuro/-a
Jura	o Direito
Medizin	a Medicina
vorbeikommen	passar por
praktisch	praticamente
die ganze Stadt	a cidade toda
hierher zurückkommen	cá volta
lass uns gehen	vamos lá
