Spaziergang	o passeio
Verspätung	o atraso
endlich	finalmente
ohne	sem
Programm	o programa
Plan	o plano
zuerst	para já
U-Bahn	o metro
sollen, müssen	dever
Warum?	Porquê?
anstrengend, ermüdend	cansativo/-a
so viel	tanto/-a
Hügel	a colina
gefährlich	perigoso/-a
es ist nicht üblich	não se usa
vorschlagen	propor
berühmt	famoso/-a
Straßencafé, Terrasse (eines Lokals)	a esplanada
oben	no alto de
Park	o parque
endlos; so weit das Auge reicht	a perder de vista
Angestelter; Ober	o empregado
Was wünschen Sie bitte?	Façam o favor de dizer?
Espresso	a bica
Wie gut!	Que bom!
schön	lindo/-a
Kastell, Burg	o castelo
Aussicht	a vista
(ein Verkehrsmittel) erreichen, nehmen	apanhar
erbaut	construído
danach, anschließend	a seguir
Törtchen, Gebäck	o bolinho
köstlich	delicioso/-a
Helligkeit; Leuchtkraft	a luminosidade
sich widerspiegeln	refletir-se
Duft; Geruch	o cheiro
Meer	o mar
erfüllt	em cheio
zeigen	mostrar
Sache, Ding	a coisa
bald	em breve
wird es geben	deve haver
Gelegenheit	a oportunidade
geben	dar
