Spielplan, Plakat	o cartaz
Vorstellung, Veranstaltung	o espetáculo
geboren werden	nascer
Seemann	o marinheiro
täglich	diariamente
finden	encontrar
Glück	a felicidade
Schatz	o tesouro
Kind	a criança
Erwachsener	o adulto
Feiertag	o feriado
Bar, Café	o bar
königlich	real
Live-Musik	a Música ao vivo
Band, Musikgruppe	o conjunto
erscheinen	surgir
Mondschein	o luar
geöffnet	aberto/-a
verabreden, etwas ausmachen	combinar
Um wie viel Uhr treffen wir uns?	A que horas nos encontramos?
Wie wäre es?	Que tal?
Ja, gute Idee!	Sim, boa idea!
Ich möchte lieber	Eu prefiro
Heute kann ich leider nicht	Infelizmente, hoje não posso.
Pläne machen	fazer planos
Treffen, Verabredung	o encontro
ein Treffen vereibaren	marcar encontro
21.00 Uhr Vorstellung	a sessão das 21.00 horas
Teaterstück	a peça de Teatro
Fado-Lokal	a casa de fado
Lied	a canção
Museum	o museu
Diskothek	a discoteca
tanzen	dançar
